Name,Description,imgFile
Cinnamon Teal,This small dabbling duck is native to western North America and was named for its reddish-brown color. A separate population is widespread throughout the southern half of South America. The cinnamon teal diet consists of seeds & roots in addition to aquatic plants and insects.,a___cinnamon_teal_25_jpg
Coho Salmon,Coho salmon were historically distributed all throughout the North Pacific Ocean from central California to Japan. The carnivorous coho spend the first half of their lives in streams and small freshwater tributaries. The remainder of their life is spent foraging in the Pacific Ocean and estuaries before they return to their birth stream to spawn.,a___coho_salmon_26_jpg
Colobus Monkey,Colobus monkeys live in the forests and grasslands of Central Africa. They are found most often in second-growth or degraded forests or along rivers. Colobus monkeys live mostly in the trees and eat leaves and fruit.,a___colobus_monkey_27_jpg
Cougar,Cougars once ranged across most of North America as well as from southern Argentina to Chile. Cougars need areas with shelter and enough prey to live on so they can live in mountain forests or in tropical forests as well as grass¬lands or swamps.,a___cougar_28_jpg
De Brazza's Monkey,De Brazza's monkeys live along rivers in forest habitats in Central Africa. They are primarily herbivores. This monkey is named for an Italian explorer (Pierre Savorgnan de Brazza).,a___de_brazza_s_monkey_29_jpg
Dwarf Mongoose,Dwarf mongooses live throughout much of sub-Saharan Africa in a wide variety of woodlands as well as thickets and savanna habitats. They are the smallest carnivores in Africa and are primarily insectivorous (insect-eaters).,a___dwarf_mongoose_30_jpg
Giraffe,"The Oregon Zoo is home to representatives of two subspecies (the reticulated giraffe and the Masai giraffe). Reticulated giraffes live in open woodlands and wooded grasslands in Eastern Africa. ""Reticulated"" refers to the net-shaped pattern of their skin. Masai giraffes (tallest of the giraffe subspecies) range in the savannahs across central and southern Kenya and throughout Tanzania. They have jagged markings that look like grape or maple leaves.",a___giraffe_31_jpg
Grey Gull,Grey gulls live on sandy beaches and mudflats on the west coast of South America from Ecuador and Peru to central Chile. They scavenge in harbors and along the costal sand looking for crustaceans. They also follow fishing boats or forage for schools of fish with other seabirds.,a___grey_gull_32_jpg
Hadada Ibis,The Hadada ibis is a long-legged wading bird native to sub-Saharan Africa. It lives in wooded streams and river courses in open grassland and savanna woodlands. Their diet consists mainly of insects and worms in addition to snails and small reptiles.,a___hadada_ibis_33_jpg
Harbor Seal,Harbor seals are found north of the equator along the coasts of the Atlantic and Pacific Oceans. They swim in near-shore coastal waters as well as bays and estuaries. They haul out on rocky islands and sandy beaches to rest and get warm. They also come out of the water to give birth and escape from predators. They usually lie close to the water so they can make a quick escape.,a___harbor_seal_34_jpg
Hooded Merganser,Hooded mergansers are small fish-eating ducks or 'sawbills' native to North America. Hooded mergansers—like all mergansers—have serrated bills adapted for catching fish. They also eat insects and crustaceans.,a___hooded_merganser_35_jpg
Humboldt Penguin,Humboldt penguins live along the west coasts of Peru and Chile. They are named after the cold Humboldt Current that runs from the Antarctic to the equator along the west coast of South America. They are one of 17 penguin species in the world (all of which live in the Southern hemisphere).,a___humboldt_penguin_36_jpg
Inca Tern,Inca terns live on coastal islands off the coasts of Chile and Peru. They are piscivores. Inca terns swoop down from the air to snatch the tiny fish from the top few inches of water. They rarely dive deeper.,a___inca_tern_37_jpg
Lesser Flamingo,Lesser Flamingos are filter-feeding wading birds native to Africa. They are the smallest of the six flamingo species (and the pinkest of the two old world species). Lesser flamingos get their pink color from pigments in an algae called spirulina (their primary food). Flamingos have a poor sense of taste and no sense of smell.,a___lesser_flamingo_38_jpg
Lion,African lions live in the open plains as well as thick brush and dry thorn forests of sub-Saharan Africa. Lions can prey on animals many times their size with their big jaws and muscular build. Lions prey on almost any animal but antelopes in addition to zebras and wildebeest form the bulk of their diet.,a___lion_39_jpg
Naked Mole Rat,"Naked mole rats live underground in the dry and arid regions of Eastern Africa. These unique animals are rodents but they are more closely related to porcupines and guinea pigs than they are to either moles or rats. While they look ""naked"" they actually have fine hairs all over their bodies which help them navigate by feel in the dark.",a___naked_mole_rat_40_jpg
Nankin Chicken,"Nankin chickens are a bantam breed of chicken. The word bantam is often used to describe ""miniature"" breeds of poultry and there are many different bantam breeds. A nankin is one of the 17 types of true bantams (they have no full sized counterpart). Nankin chickens are thought to be one of the oldest known breeds of bantams.",a___nankin_chicken_41_jpg
Northern Pintail,The northern pintail has a slender build in addition to a long neck and pointed tail feathers—from which it derives its name. The northern pintail is widespread across North America as well as Europe and Asia. It is considered one of the most handsome ducks.,a___northern_pintail_42_jpg
Northern Shoveler,The northern shoveler is a dabbling duck widespread throughout the northern hemisphere—named for its large bill with a broad spatula-shaped tip. Northern shovelers dip their beaks into shallow water and filter foods such as insects along with plants and seeds. This type of feeding is called dabbling.,a___northern_shoveler_43_jpg
Orangutan,Orangutans are the only great apes that spend their lives in the rainforest canopy and live in lowland or hilly tropical rainforests. There are two species of orangutans. They have been isolated from each other for more than a million years and live only in their namesake islands of Borneo and Sumatra in Southeast Asia.,a___orangutan_44_jpg
Pacific Lamprey,Pacific Lamprey begin their lives in freshwater streams around the Pacific Rim—from Japan north to Russia and from Alaska and the Pacific Northwest to California and Mexico. Lamprey are among the oldest fish in the world (they fist appeared in the fossil record 450 million years ago)! They haven't changed much since that time.,a___pacific_lamprey_45_jpg
Polar Bear,Polar bears live across 1 million square miles of open tundra and sea ice encircling the North Pole. Their range spans the far northern reaches of Alaska all the way to Norway. Polar bears are the largest member of the bear family. Adult males weigh up to 1400 pounds and stand up to 11 feet tall on their hind legs.,a___polar_bear_46_jpg
Pygmy Goat,Pygmy goats are a small breed of domestic goat. Originally native to Southwest Asia—goats were domesticated 8500 years ago for meat along with milk and fiber and are now found all over the planet. Pygmy goats are native to West Africa and were brought to the United States in the 1950s for use in zoos and research.,a___pygmy_goat_47_jpg
Pygora Goat,Pygora goats are a medium breed of domestic goat. They were initially bred in Oregon City in the 1980s by crossing an angora goat with a pygmy goat in order to produce a goat with fine fiber for hand spinning.,a___pygora_goat_48_jpg
Rainbow Trout,"Rainbow trout are native to watersheds west of the Cascade Mountains. They have been introduced elsewhere in North America and on every continent except Antarctica for food and sport fishing. They are omnivores. Rainbow trout are in the salmon family. The ""rainbow"" refers to a reddish-pink stripe on the fish's side.",a___rainbow_trout_49_jpg
Red Panda,Red pandas are a small arboreal mammal found in the montane forests of the Himalayas and major mountain ranges of southwestern China and the Indian Subcontinent. These strange carnivores have formidable teeth and a pseudo thumb that they use to consume a diet of mostly bamboo. Their striking fur helps them to camouflage in the shadowed nooks of the trees amongst reddish moss and white lichens.,a___red_panda_50_jpg
Red-Crested Pochard,The Red-crested pochard is a large diving duck that lives throughout Europe and Asia and even Northern Africa. Red-crested pochards are the largest of the pochards. They dive and dabble to get at the roots & seeds and aquatic plants that they eat.,a___red_crested_pochard_51_jpg
Redhead,The redhead is a relatively large diving duck widespread through North America. The species is named for the males' striking red-orange head. A male redhead's call resembles a cat's meow. They feed by diving for seeds and plants as well as aquatic insects and small fish.,a___redhead_52_jpg
Ring-Tailed Lemur,Ring-tailed lemurs live in the dry forests of southwestern Madagascar. Unlike most lemurs—they spend about half of their time on the ground. Ring-tailed lemurs are hard to miss. They're named for their 2-feet-long tails (which have 13 alternating black and white rings).,a___ring_tailed_lemur_53_jpg
Ringtail,The ringtail is a mammal of the raccoon family native to arid regions of North America. It is widely distributed and well adapted to disturbed areas.,a___ringtail_54_jpg
River Otter,River otters live throughout most of the United States and Canada wherever there is a food supply and easy access to water. They live in marshes - lakes - ponds - streams and estuaries at elevations ranging from the coast to the mountains.,a___river_otter_55_jpg
Rocky Mountain Goat,Mountain goats—a North American native—range from steep slopes at elevations up to 13000 feet to temperate forests at sea level in coastal British Columbia. They eat grass - herbs - lichen - moss and woody plants. Their historic range was Southeast Alaska south to the Columbia River and east to southern Idaho and western Montana. After settlement of the West their numbers declined due to hunting.,a___rocky_mountain_goat_56_jpg
Rodrigues Flying Fox,Rodrigues flying foxes are bats found only on Rodrigues—a tiny island 900 miles east of Madagascar. They live in dense rainforests with large trees. As Rodrigues rainforests have been cut their range has shrunk to a small wooded valley.,a___rodrigues_flying_fox_57_jpg
Sacred Ibis,The sacred ibis lives throughout sub-Saharan Africa and Southeast Iraq. This species was venerated and often mummified by ancient Egyptians. Ibis mummies have been discovered buried alongside pharaohs.,a___sacred_ibis_58_jpg
Southern Ground Hornbill,The Southern ground hornbill is a tall and long-legged terrestrial bird native to South Africa. These massive predatory birds - the largest of hornbill species - are capable of capturing hares and driving eagles away from their prey.,a___southern_ground_hornbill_59_jpg
Southern Sea Otter,Sea otters live in the nearshore marine ecosystem. They do most of their foraging within about half a mile of shore. Both northern and southern sea otters once inhabited the Oregon coast. Southern sea otters today live along the central coast of California; northern sea otters live along the coasts of North America above Washington.,a___southern_sea_otter_60_jpg
Speke's Gazelle,This gazelle's historic range is the Horn of Africa: on the Somali coast and inland to Ethiopia. It lives in stony brush - grassland and semidesert. It has been hunted to extinction in Ethiopia and is endangered in Somalia due to war in addition to hunting and overgrazing. Gazelle are herbivores which means they eat herbs - shrubs and succulents.,a___speke_s_gazelle_61_jpg
Straw-Colored Fruit Bat,The straw-colored fruit bat is adaptable to many habitats and lives in lowland forests and savannas of sub-Saharan Africa - from Senegal in the west - South Africa to the south - and Ethiopia in the east. It is an herbivore - eating wild fruits and nectar.,a___straw_colored_fruit_bat_62_jpg
Veiled Chameleon,This cone-headed lizard with swiveling eyes is native to the southwestern region of the Arabian Peninsula. They have a broad appetite that includes insects and flowers as well as leaves and even small birds and mammals. Veiled chameleons possess a sticky & spring-loaded tongue that can be launched one and a half times their own body length to capture prey.,a___veiled_chameleon_63_jpg
Western Painted Turtle,The western subspecies of painted turtles is found from western Ontario to British Columbia and south into the central United States. In Oregon they're found mostly in the northern part of the state. They prefer slow-moving shallow water with dense aquatic vegetation along with a muddy bottom and lots of basking sites.,a___western_painted_turtle_64_jpg
White Sturgeon,White sturgeon are large fish that range along the west coast of North America from California to British Columbia. White sturgeon from the lower reaches of the Columbia River are considered the most productive in the species' range.,a___white_sturgeon_65_jpg
White-Cheeked Gibbon,White-cheeked gibbons live in the rainforests of Laos as well as Southern China and Vietnam. They live and feed in the trees and almost never come down to the ground. White-cheeked gibbons are mostly fruit-eaters but they like leaves and insects too. They especially like the pulp of fruit.,a___white_cheeked_gibbon_66_jpg
White-Faced Whistling Duck,White-faced whistling ducks live throughout South America and sub-Saharan Africa as well as parts of the Caribbean and Central America. White-faced whistling ducks are named for their high-pitched whistling calls. They feed on grass in addition to seeds and aquatic mollusks.,a___white_faced_whistling_duck_67_jpg
Wood Duck,Wood ducks are considered one of the most stunning of all waterfowl and are also one of few waterfowl that often perch in trees. They forage or dabble for food in shallow water – eating seeds as well as aquatic and terrestrial invertebrates.,a___wood_duck_68_jpg
